gameId,gameDate,home_win,home_teamId,home_teamCity,home_teamName,away_teamId,away_teamCity,away_teamName,home_last_5_teamScore,home_last_5_fieldGoalsPercentage,home_last_5_threePointersPercentage,home_last_5_freeThrowsPercentage,home_last_5_reboundsTotal,home_last_5_assists,home_last_5_turnovers,home_last_5_steals,home_last_5_blocks,home_last_5_plusMinusPoints,home_last_5_win,away_last_5_teamScore,away_last_5_fieldGoalsPercentage,away_last_5_threePointersPercentage,away_last_5_freeThrowsPercentage,away_last_5_reboundsTotal,away_last_5_assists,away_last_5_turnovers,away_last_5_steals,away_last_5_blocks,away_last_5_plusMinusPoints,away_last_5_win,h2h_winrate_last_3_home,h2h_winrate_last_3_away,home_days_rest,away_days_rest
21901231,2020-07-30 18:30:00,0,1610612740,New Orleans,Pelicans,1610612762,Utah,Jazz,114.4,0.4676,0.3734,0.745,45.6,27.8,16.8,8.0,5.6,17.2,1.0,100.8,0.46320000000000006,0.3625999999999999,0.7444,39.8,20.2,15.2,8.6,3.2,-1.8,0.6,,0.0,0.0,0.0
21901232,2020-07-30 21:00:00,1,1610612747,Los Angeles,Lakers,1610612746,Los Angeles,Clippers,112.0,0.493,0.36960000000000004,0.7322,45.0,22.0,15.0,8.0,4.2,3.4,0.6,108.0,0.4332,0.3482,0.7776,46.6,21.0,13.6,4.8,4.2,5.0,0.6,,0.3333333333333333,3.0,0.0
21901233,2020-07-31 14:30:00,0,1610612751,Brooklyn,Nets,1610612753,Orlando,Magic,102.6,0.4304,0.3234,0.7327999999999999,44.2,22.6,16.8,9.0,4.6,-5.2,0.6,112.4,0.4328,0.3432,0.8062000000000001,43.8,24.8,12.8,9.2,3.0,2.6,0.6,,0.6666666666666666,3.0,3.0
21901234,2020-07-31 16:00:00,1,1610612757,Portland,Trail Blazers,1610612763,Memphis,Grizzlies,108.8,0.4598,0.33399999999999996,0.7216,44.2,21.8,14.0,8.0,6.6,-3.2,0.2,109.6,0.4492,0.36239999999999994,0.6952,48.6,25.6,18.8,8.2,5.0,1.6,0.4,,0.3333333333333333,2.0,0.0
21901235,2020-07-31 16:00:00,0,1610612764,Washington,Wizards,1610612756,Phoenix,Suns,101.8,0.3976,0.3242,0.7438,41.0,20.8,14.8,9.0,3.0,-4.6,0.2,113.2,0.4574,0.341,0.8744,42.6,24.8,16.0,9.8,3.6,0.6,0.6,,0.0,0.0,3.0
21901236,2020-07-31 18:30:00,1,1610612749,Milwaukee,Bucks,1610612738,Boston,Celtics,114.6,0.4532,0.3402,0.7562,44.8,22.8,16.6,8.2,4.4,-3.0,0.4,106.2,0.45039999999999997,0.3336,0.7158,44.2,21.6,15.2,9.8,3.2,-4.6,0.4,,0.3333333333333333,0.0,0.0
21901237,2020-07-31 20:00:00,1,1610612759,San Antonio,Spurs,1610612758,Sacramento,Kings,115.4,0.47040000000000004,0.37679999999999997,0.8432000000000001,45.6,25.0,15.8,8.8,8.2,-2.4,0.4,112.6,0.4558,0.3678,0.8676,43.4,25.0,13.6,6.8,3.4,-0.6,0.4,,0.3333333333333333,3.0,0.0
21901238,2020-07-31 21:00:00,0,1610612742,Dallas,Mavericks,1610612745,Houston,Rockets,111.8,0.4580000000000001,0.357,0.7087999999999999,46.2,23.2,12.6,6.2,3.4,1.2,0.6,112.4,0.4444,0.3606,0.8326,41.0,22.8,18.8,10.0,3.8,3.0,0.6,,0.3333333333333333,0.0,3.0
21901239,2020-08-01 13:00:00,0,1610612743,Denver,Nuggets,1610612748,Miami,Heat,101.8,0.45640000000000003,0.3712,0.7358,45.4,23.2,19.4,8.2,6.6,-2.8,0.4,102.2,0.4526,0.34240000000000004,0.8139999999999998,40.2,27.2,17.8,6.2,4.4,-2.8,0.4,,0.0,0.0,0.0
21901240,2020-08-01 15:30:00,1,1610612760,Oklahoma City,Thunder,1610612762,Utah,Jazz,112.4,0.4702,0.3818,0.7166,43.6,22.6,14.0,9.2,5.8,10.8,1.0,99.8,0.4474,0.349,0.7657999999999999,40.4,20.2,17.2,8.8,3.6,-2.6,0.6,,0.0,0.0,1.0
